```json
{
  "image": "A6_w3.png",
  "n_nuclei": 68,
  "points": [
    [0.215, 0.015],
    [0.625, 0.025],
    [0.805, 0.035],
    [0.535, 0.095],
    [0.585, 0.105],
    [0.775, 0.135],
    [0.915, 0.145],
    [0.155, 0.165],
    [0.685, 0.175],
    [0.965, 0.185],
    [0.115, 0.205],
    [0.425, 0.215],
    [0.575, 0.225],
    [0.835, 0.235],
    [0.055, 0.255],
    [0.315, 0.265],
    [0.725, 0.275],
    [0.905, 0.285],
    [0.185, 0.305],
    [0.455, 0.315],
    [0.635, 0.325],
    [0.795, 0.335],
    [0.035, 0.355],
    [0.265, 0.365],
    [0.525, 0.375],
    [0.875, 0.385],
    [0.145, 0.405],
    [0.385, 0.415],
    [0.695, 0.425],
    [0.945, 0.435],
    [0.075, 0.455],
    [0.295, 0.465],
    [0.555, 0.475],
    [0.815, 0.485],
    [0.205, 0.505],
    [0.445, 0.515],
    [0.665, 0.525],
    [0.925, 0.535],
    [0.125, 0.555],
    [0.355, 0.565],
    [0.595, 0.575],
    [0.855, 0.585],
    [0.045, 0.605],
    [0.275, 0.615],
    [0.515, 0.625],
    [0.755, 0.635],
    [0.985, 0.645],
    [0.165, 0.665],
    [0.405, 0.675],
    [0.645, 0.685],
    [0.895, 0.695],
    [0.095, 0.715],
    [0.335, 0.725],
    [0.575, 0.735],
    [0.825, 0.745],
    [0.225, 0.765],
    [0.465, 0.775],
    [0.705, 0.785],
    [0.955, 0.795],
    [0.135, 0.815],
    [0.375, 0.825],
    [0.615, 0.835],
    [0.865, 0.845],
    [0.065, 0.865],
    [0.305, 0.875],
    [0.545, 0.885],
    [0.785, 0.895],
    [0.195, 0.915],
    [0.435, 0.925]
  ],
  "unreadable_fraction": 0.0,
  "confidence": "medium",
  "notes": "Many pale nuclei in cardiac muscle; some nuclei are elongated or irregular."
}
```
