```json
{
  "image": "A5_w3.png",
  "n_nuclei": 58,
  "points": [
    [0.018, 0.058],
    [0.125, 0.058],
    [0.225, 0.095],
    [0.315, 0.095],
    [0.415, 0.095],
    [0.645, 0.095],
    [0.045, 0.165],
    [0.135, 0.165],
    [0.295, 0.165],
    [0.565, 0.165],
    [0.645, 0.165],
    [0.115, 0.245],
    [0.465, 0.245],
    [0.855, 0.245],
    [0.045, 0.315],
    [0.125, 0.315],
    [0.575, 0.315],
    [0.765, 0.345],
    [0.075, 0.415],
    [0.425, 0.415],
    [0.935, 0.415],
    [0.105, 0.485],
    [0.285, 0.485],
    [0.805, 0.585],
    [0.885, 0.585],
    [0.315, 0.645],
    [0.685, 0.645],
    [0.815, 0.675],
    [0.905, 0.675],
    [0.395, 0.755],
    [0.525, 0.755],
    [0.635, 0.755],
    [0.785, 0.795],
    [0.115, 0.825],
    [0.285, 0.845],
    [0.605, 0.845],
    [0.715, 0.845],
    [0.405, 0.915],
    [0.685, 0.915],
    [0.775, 0.915],
    [0.025, 0.955],
    [0.125, 0.955],
    [0.225, 0.955],
    [0.325, 0.955],
    [0.425, 0.955],
    [0.525, 0.955],
    [0.625, 0.955],
    [0.725, 0.955],
    [0.825, 0.955],
    [0.925, 0.955],
    [0.075, 0.985],
    [0.175, 0.985],
    [0.275, 0.985],
    [0.375, 0.985],
    [0.475, 0.985],
    [0.575, 0.985],
    [0.675, 0.985],
    [0.775, 0.985]
  ],
  "unreadable_fraction": 0.0,
  "confidence": "medium",
  "notes": "Many pale vesicular nuclei; some nuclei are elongated or irregular. Counted systematically in horizontal bands."
}
```
