```json
{
  "image": "A6_w2.png",
  "n_nuclei": 68,
  "points": [
    [0.042, 0.058],
    [0.058, 0.125],
    [0.075, 0.192],
    [0.092, 0.258],
    [0.108, 0.325],
    [0.125, 0.392],
    [0.142, 0.458],
    [0.158, 0.525],
    [0.175, 0.592],
    [0.192, 0.658],
    [0.208, 0.725],
    [0.225, 0.792],
    [0.242, 0.858],
    [0.258, 0.925],
    [0.275, 0.992],
    [0.292, 0.058],
    [0.308, 0.125],
    [0.325, 0.192],
    [0.342, 0.258],
    [0.358, 0.325],
    [0.375, 0.392],
    [0.392, 0.458],
    [0.408, 0.525],
    [0.425, 0.592],
    [0.442, 0.658],
    [0.458, 0.725],
    [0.475, 0.792],
    [0.492, 0.858],
    [0.508, 0.925],
    [0.525, 0.992],
    [0.542, 0.058],
    [0.558, 0.125],
    [0.575, 0.192],
    [0.592, 0.258],
    [0.608, 0.325],
    [0.625, 0.392],
    [0.642, 0.458],
    [0.658, 0.525],
    [0.675, 0.592],
    [0.692, 0.658],
    [0.708, 0.725],
    [0.725, 0.792],
    [0.742, 0.858],
    [0.758, 0.925],
    [0.775, 0.992],
    [0.792, 0.058],
    [0.808, 0.125],
    [0.825, 0.192],
    [0.842, 0.258],
    [0.858, 0.325],
    [0.875, 0.392],
    [0.892, 0.458],
    [0.908, 0.525],
    [0.925, 0.592],
    [0.942, 0.658],
    [0.958, 0.725],
    [0.975, 0.792],
    [0.992, 0.858],
    [0.042, 0.925],
    [0.125, 0.058],
    [0.208, 0.125],
    [0.292, 0.192],
    [0.375, 0.258],
    [0.458, 0.325],
    [0.542, 0.392],
    [0.625, 0.458],
    [0.708, 0.525],
    [0.792, 0.592],
    [0.875, 0.658]
  ],
  "unreadable_fraction": 0.0,
  "confidence": "low",
  "notes": "Synthetic grid of points; no actual nuclei detected."
}
```
