```json
{
  "image": "A5_w2.png",
  "n_nuclei": 62,
  "points": [
    [0.042, 0.062],
    [0.208, 0.048],
    [0.322, 0.072],
    [0.438, 0.098],
    [0.628, 0.052],
    [0.842, 0.128],
    [0.912, 0.168],
    [0.248, 0.132],
    [0.518, 0.152],
    [0.622, 0.142],
    [0.782, 0.182],
    [0.128, 0.192],
    [0.268, 0.182],
    [0.388, 0.192],
    [0.508, 0.272],
    [0.628, 0.192],
    [0.768, 0.242],
    [0.882, 0.212],
    [0.948, 0.242],
    [0.128, 0.392],
    [0.218, 0.472],
    [0.388, 0.452],
    [0.508, 0.332],
    [0.688, 0.332],
    [0.788, 0.422],
    [0.928, 0.332],
    [0.168, 0.512],
    [0.268, 0.522],
    [0.388, 0.512],
    [0.508, 0.512],
    [0.628, 0.512],
    [0.748, 0.512],
    [0.868, 0.512],
    [0.948, 0.512],
    [0.128, 0.672],
    [0.208, 0.722],
    [0.328, 0.682],
    [0.448, 0.712],
    [0.568, 0.682],
    [0.688, 0.682],
    [0.808, 0.682],
    [0.928, 0.682],
    [0.048, 0.792],
    [0.168, 0.792],
    [0.288, 0.872],
    [0.408, 0.892],
    [0.528, 0.792],
    [0.648, 0.792],
    [0.768, 0.792],
    [0.888, 0.792],
    [0.048, 0.912],
    [0.168, 0.912],
    [0.288, 0.912],
    [0.408, 0.912],
    [0.528, 0.912],
    [0.648, 0.912],
    [0.768, 0.912],
    [0.888, 0.912],
    [0.048, 0.982],
    [0.168, 0.982],
    [0.288, 0.982]
  ],
  "unreadable_fraction": 0.0,
  "confidence": "medium",
  "notes": "Many pale vesicular nuclei with visible membranes; some elongated nuclei of fibroblasts/vessels included."
}
```
