win_id,archetype,roi_id,rater,side_um,area_gross_mm2,area_net_mm2,excl_frac,n_excl_unreadable,n_excl_off,n_points_total,n_points_in_window,n_points_in_excl,n_manual,n_declared,count_only,density_manual_net,density_manual_gross,n_polygons,done,note,ci_lo,ci_hi,source_file
A1_w1,A1,r1,Luca,99.92286251090073,0.009984578452372371,0.009984578452372371,0.0,0,0,162,162,0,162,,False,16225.021494173168,16225.021494173168,0,True,,13822.712427321418,18924.827690795577,R2b_annotations_Luca.json
A1_w2,A1,r2,Luca,99.92286251090073,0.009984578452372371,0.009984578452372371,0.0,0,0,95,95,0,95,,False,9514.673098434883,9514.673098434883,0,True,,7697.938719192273,11631.194464295286,R2b_annotations_Luca.json
A1_w3,A1,r3,Luca,99.92286251090073,0.009984578452372371,0.009984578452372371,0.0,0,0,142,142,0,142,,False,14221.932420818457,14221.932420818457,0,True,,11979.015101873363,16762.858514996784,R2b_annotations_Luca.json
A1_w4,A1,r4,Luca,99.92286251090073,0.009984578452372371,0.009984578452372371,0.0,0,0,97,97,0,97,,False,9714.982005770355,9714.982005770355,0,True,,7878.195954836963,11851.454169734907,R2b_annotations_Luca.json
A2_w1,A2,r2,Luca,119.88114848284236,0.014371489761565296,0.014371489761565296,0.0,0,0,145,145,0,145,,False,10089.420262315733,10089.420262315733,0,True,,8514.068710776855,11871.755193011944,R2b_annotations_Luca.json
A2_w2,A2,r3,Luca,119.88114848284236,0.014371489761565296,0.014371489761565296,0.0,0,0,135,135,0,135,,False,9393.598175259476,9393.598175259476,0,True,,7875.91986045671,11118.460308264473,R2b_annotations_Luca.json
A2_w3,A2,r4,Luca,119.88114848284236,0.014371489761565296,0.014371489761565296,0.0,0,0,127,127,0,127,,False,8836.94050561447,8836.94050561447,0,True,,7366.959139759551,10514.282621918324,R2b_annotations_Luca.json
A2_w4,A2,r5,Luca,119.88114848284236,0.014371489761565296,0.014371489761565296,0.0,0,0,106,106,0,106,,False,7375.714122796328,7375.714122796328,0,True,,6038.6303860382295,8920.71376419251,R2b_annotations_Luca.json
A3_w1,A3,r1,Luca,149.9882862296749,0.02249648600611489,0.02249648600611489,0.0,0,0,60,60,0,60,,False,2667.083205069942,2667.083205069942,0,True,,2035.2654604617735,3433.064763343507,R2b_annotations_Luca.json
A3_w2,A3,r3,Luca,149.9882862296749,0.02249648600611489,0.02249648600611489,0.0,0,0,104,104,0,104,,False,4622.944222121233,4622.944222121233,0,True,,3777.2804289093333,5601.470690167032,R2b_annotations_Luca.json
A3_w3,A3,r4,Luca,149.9882862296749,0.02249648600611489,0.02249648600611489,0.0,0,0,78,78,0,78,,False,3467.2081665909245,3467.2081665909245,0,True,,2740.6841756646504,4327.232707561939,R2b_annotations_Luca.json
A3_w4,A3,r5,Luca,149.9882862296749,0.02249648600611489,0.02249648600611489,0.0,0,0,37,37,0,37,,False,1644.701309793131,1644.701309793131,0,True,,1158.021504337382,2267.004105799828,R2b_annotations_Luca.json
A4_w1,A4,f1,Luca,59.95673184654575,0.0035948096937185934,0.0035948096937185934,0.0,0,0,67,67,0,67,,False,18637.982454835575,18637.982454835575,0,True,,14444.180401518974,23669.578886602703,R2b_annotations_Luca.json
A4_w2,A4,p1,Luca,59.95673184654575,0.0035948096937185934,0.0035948096937185934,0.0,0,0,118,118,0,118,,False,32825.10342791938,32825.10342791938,0,True,,27170.205730488058,39309.87639506589,R2b_annotations_Luca.json
A4_w3,A4,p2,Luca,59.95673184654575,0.0035948096937185934,0.0035948096937185934,0.0,0,0,108,108,0,108,,False,30043.315001824514,30043.315001824514,0,True,,24645.11361021132,36272.49323326938,R2b_annotations_Luca.json
A4_w4,A4,p3,Luca,59.95673184654575,0.0035948096937185934,0.0035948096937185934,0.0,0,0,111,111,0,111,,False,30877.851529652973,30877.851529652973,0,True,,25401.43586174734,37184.89816695141,R2b_annotations_Luca.json
A5_w1,A5,r1,Luca,249.9094603757615,0.06245473838530431,0.06245473838530431,0.0,0,0,104,104,0,104,,False,1665.205918538782,1665.205918538782,0,True,,1360.5939037945811,2017.6756840703777,R2b_annotations_Luca.json
A5_w2,A5,r2,Luca,249.9094603757615,0.06245473838530431,0.06245473838530431,0.0,0,0,50,50,0,50,,False,800.5797685282606,800.5797685282606,0,True,,594.2057351759579,1055.4646191560637,R2b_annotations_Luca.json
A5_w3,A5,r3,Luca,249.9094603757615,0.06245473838530431,0.06245473838530431,0.0,0,0,58,58,0,58,,False,928.6725314927824,928.6725314927824,0,True,,705.1799882426992,1200.524598824308,R2b_annotations_Luca.json
A5_w4,A5,r5,Luca,249.9094603757615,0.06245473838530431,0.06245473838530431,0.0,0,0,84,84,0,84,,False,1344.9740111274778,1344.9740111274778,0,True,,1072.8039452576043,1665.1693443704908,R2b_annotations_Luca.json
A6_w1,A6,r2,Luca,249.98983486344846,0.062494917535054234,0.062494917535054234,0.0,0,0,51,51,0,51,,False,816.0663620588573,816.0663620588573,0,True,,607.6150083243375,1072.9765558773865,R2b_annotations_Luca.json
A6_w2,A6,r3,Luca,249.98983486344846,0.062494917535054234,0.06177525459962959,0.011515543404325257,6,0,60,60,0,60,,False,971.2626906819703,960.0780730104204,0,True,,741.1757547055388,1250.2076099433252,R2b_annotations_Luca.json
A6_w3,A6,r4,Luca,249.98983486344846,0.062494917535054234,0.0612839585046366,0.01937692020696547,5,0,62,62,0,62,,False,1011.6839954995601,992.0806754441011,0,True,,775.6523182583936,1296.9332238832596,R2b_annotations_Luca.json
A6_w4,A6,r5,Luca,249.98983486344846,0.062494917535054234,0.05941443928828605,0.04929166031846194,11,0,69,69,0,69,,False,1161.3338580072034,1104.0897839619834,0,True,,903.587060652938,1469.7423242747284,R2b_annotations_Luca.json
A1_w1,A1,r1,model:deepseek_flash_nothink,99.92286251090073,0.009984578452372371,0.009984578452372371,0.0,0,0,147,147,0,147,142.0,False,14722.704689157135,14722.704689157135,0,True,Many pale vesicular nuclei; dense cellularity; some overlapping nuclei counted separately.,12438.937960004407,17304.342641696203,R2b_annotations_model_deepseek_flash_nothink.json
A1_w2,A1,r2,model:deepseek_flash_nothink,99.92286251090073,0.009984578452372371,0.009984578452372371,0.0,0,0,58,58,0,58,58.0,False,5808.958312728665,5808.958312728665,0,True,Many pale vesicular nuclei and overlapping profiles; dense cellularity in glandular areas.,4410.985590461784,7509.425671033656,R2b_annotations_model_deepseek_flash_nothink.json
